"Date","Price","Volume","Market_cap"
"2024-01-29 00:00:00 UTC+0","0.00078642","2334.721534","6330816.01073555"
"2024-01-28 00:00:00 UTC+0","0.00075351","2.737027","6065823.62063250"
"2024-01-27 00:00:00 UTC+0","0.00075351","2.737027","6065823.62063250"
"2024-01-26 00:00:00 UTC+0","0.00075351","2.737027","6065823.62063250"
"2024-01-25 00:00:00 UTC+0","0.00075351","2.737027","6065823.62063250"
"2024-01-24 00:00:00 UTC+0","0.00075351","2.737027","6065823.62063250"
"2024-01-23 00:00:00 UTC+0","0.00075351","2.737027","6065823.62063250"
"2024-01-22 00:00:00 UTC+0","0.00075351","2.737027","6065823.62063250"
"2024-01-21 00:00:00 UTC+0","0.00068280","6333.419683","5496661.12817700"
"2024-01-20 00:00:00 UTC+0","0.00068280","6333.419683","5496661.12817700"
"2024-01-19 00:00:00 UTC+0","0.00068280","6333.419683","5496661.12817700"
"2024-01-18 00:00:00 UTC+0","0.00068280","6333.419683","5496661.12817700"
"2024-01-17 00:00:00 UTC+0","0.00068280","6333.419683","5496661.12817700"
"2024-01-16 00:00:00 UTC+0","0.00071045","8475.340849","5719251.83150402"
"2024-01-15 00:00:00 UTC+0","0.00071612","20977.899722","5764841.03500808"
"2024-01-14 00:00:00 UTC+0","0.00075814","6951.422589","6103147.52135273"
"2024-01-13 00:00:00 UTC+0","0.00082623","5155.058258","6651240.85273263"
"2024-01-12 00:00:00 UTC+0","0.00077722","38269.931493","6256698.73038058"
"2024-01-11 00:00:00 UTC+0","0.00095947","76175.248766","7723861.38486986"
"2024-01-10 00:00:00 UTC+0","0.00091012","2020.648038","7326575.09710230"
"2024-01-09 00:00:00 UTC+0","0.00089745","2020.648038","7224607.90303275"
"2024-01-08 00:00:00 UTC+0","0.00080533","42628.152376","6482992.08259214"
"2024-01-07 00:00:00 UTC+0","0.00091784","783.539747","7388696.20343176"
"2024-01-06 00:00:00 UTC+0","0.00095802","1661.630697","7712164.62332802"
"2024-01-05 00:00:00 UTC+0","0.00098000","3929.606130","7889085.12512999"
"2024-01-04 00:00:00 UTC+0","0.00099781","604.656526","8032485.68204736"
"2024-01-03 00:00:00 UTC+0","0.00094626","1042.273929","7617483.66066348"
"2024-01-02 00:00:00 UTC+0","0.00104417","12297.472820","8405712.95728248"
"2024-01-01 00:00:00 UTC+0","0.00119952","82737.402533","9656254.85930591"
"2023-12-31 00:00:00 UTC+0","0.00114922","463793.660468","9251358.57583118"
"2023-12-30 00:00:00 UTC+0","0.00091148","30800.937916","7337532.02612820"
"2023-12-29 00:00:00 UTC+0","0.00093120","71925.207822","7496301.13670887"
"2023-12-28 00:00:00 UTC+0","0.00099061","174873.776792","7974499.27085648"
