"Date","Price","Volume","Market_cap"
"2024-02-24 00:00:00 UTC+0","0.00000131","90884489.394869","553069947.40041640"
"2024-02-23 00:00:00 UTC+0","0.00000120","183548217.752836","505304616.90259343"
"2024-02-22 00:00:00 UTC+0","0.00000121","67938712.212769","509877803.35298660"
"2024-02-21 00:00:00 UTC+0","0.00000115","72184794.597468","484336214.80964786"
"2024-02-20 00:00:00 UTC+0","0.00000119","93104666.304167","501280801.52462125"
"2024-02-19 00:00:00 UTC+0","0.00000124","67414289.352415","520072348.36181240"
"2024-02-18 00:00:00 UTC+0","0.00000122","56111217.228320","514008362.74159170"
"2024-02-17 00:00:00 UTC+0","0.00000119","58349261.794285","499904549.57974684"
"2024-02-16 00:00:00 UTC+0","0.00000117","81349246.768286","491839458.31757340"
"2024-02-15 00:00:00 UTC+0","0.00000125","131849273.901717","524465440.03695256"
"2024-02-14 00:00:00 UTC+0","0.00000125","140000656.876808","523929740.40932390"
"2024-02-13 00:00:00 UTC+0","0.00000108","86444743.079245","455662872.25065140"
"2024-02-12 00:00:00 UTC+0","0.00000108","60721355.977081","452343114.47007180"
"2024-02-11 00:00:00 UTC+0","0.00000101","39909800.876903","422979219.52113897"
"2024-02-10 00:00:00 UTC+0","0.00000101","41291729.524482","425610522.88776390"
"2024-02-09 00:00:00 UTC+0","0.00000101","62957224.672535","426883030.70938843"
"2024-02-08 00:00:00 UTC+0","0.00000096","40821359.636935","403329558.52971405"
"2024-02-07 00:00:00 UTC+0","0.00000096","53798832.984762","405536214.29555020"
"2024-02-06 00:00:00 UTC+0","0.00000091","41239396.773350","380992115.81263250"
"2024-02-05 00:00:00 UTC+0","0.00000090","59769463.452908","377394006.32279240"
"2024-02-04 00:00:00 UTC+0","0.00000089","30376210.718281","372901772.99963010"
"2024-02-03 00:00:00 UTC+0","0.00000092","17225224.230261","387910371.73624670"
"2024-02-02 00:00:00 UTC+0","0.00000093","23875079.263762","389884540.87557540"
